name,smiles,p_crbn_glue,error
cand_260,CCc1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.815,
cand_261,NC(=O)c1cc2c(cc1-c1ccc(N3CCNCC3)cc1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,
cand_262,O=C1CCC(N2Cc3ccc(C(=O)O)cc3C2=O)C(=O)N1,0.97,
cand_263,N#Cc1cc(N)c2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.905,
cand_264,CN(C)c1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,1.0,
cand_265,Cc1cc2c(c([N+](=O)[O-])c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,
cand_266,Cc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.97,
cand_267,Cc1ccc(C(=O)O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.875,
cand_268,NS(=O)(=O)c1cc2c(cc1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,
cand_269,CNc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.935,
cand_270,O=C1CCC(N2Cc3cc(-c4ccc(N5CCNCC5)cc4)cc([N+](=O)[O-])c3C2=O)C(=O)N1,0.855,
cand_271,Nc1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,
cand_272,CN(C)c1cc(C(N)=O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.905,
cand_273,O=C1CCC(N2C(=O)c3cc(Br)cc(Cl)c3C2=O)C(=O)N1,0.965,
cand_274,O=C1CCC(N2Cc3c(O)cccc3C2=O)C(=O)N1,1.0,
cand_275,CNc1ccc(C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.875,
cand_276,O=C1CCC(N2C(=O)c3cc(Br)c(C(=O)O)cc3C2=O)C(=O)N1,0.965,
cand_277,NC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.96,
cand_278,O=C1CCC(N2C(=O)c3cc(Br)cc(Br)c3C2=O)C(=O)N1,0.975,
cand_279,O=C1CCC(N2Cc3c(cc(C(=O)O)cc3[N+](=O)[O-])C2=O)C(=O)N1,0.875,
cand_280,CN(C)c1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.995,
cand_281,Cc1cc([N+](=O)[O-])cc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.855,
cand_282,Cc1cc2c(c(S(N)(=O)=O)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,
cand_283,NC(=O)c1cc2c(cc1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2,0.87,
cand_284,O=C1CCC(N2Cc3c(ccc(Br)c3-c3ccc(N4CCNCC4)cc3)C2=O)C(=O)N1,1.0,
cand_285,CNc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_286,N#Cc1cc2c(c([N+](=O)[O-])c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.87,
cand_287,O=C1CCC(N2C(=O)c3cc(O)c(-c4ccc(N5CCNCC5)cc4)cc3C2=O)C(=O)N1,1.0,
cand_288,Cc1cc(F)c2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.905,
cand_289,O=C1CCC(N2Cc3ccc(I)c(C(=O)O)c3C2=O)C(=O)N1,0.92,
cand_290,Nc1cc([N+](=O)[O-])cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.86,
cand_291,N#Cc1cc(N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,
cand_292,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)c(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.94,
cand_293,Cc1c(C(N)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,
cand_294,NS(=O)(=O)c1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,
cand_295,N#Cc1cc(C#N)c2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.925,
cand_296,NC(=O)c1ccc(Cl)c2c1CN(C1CCC(=O)NC1=O)C2=O,0.9,
cand_297,CCc1cc2c(cc1N)CN(C1CCC(=O)NC1=O)C2=O,0.91,
cand_298,CNc1cc(C(=O)O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,
cand_299,NC(=O)c1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,
cand_300,CNc1cc2c(cc1[N+](=O)[O-])CN(C1CCC(=O)NC1=O)C2=O,0.88,
cand_301,NS(=O)(=O)c1cc(C(F)(F)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,
cand_302,Cc1ccc(C(N)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.875,
cand_303,CNc1cc2c(cc1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2,0.91,
cand_304,Cc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_305,COc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,
cand_306,NS(=O)(=O)c1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,
cand_307,NC(=O)c1cc(N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,
cand_308,O=C1CCC(N2Cc3c(I)ccc(Br)c3C2=O)C(=O)N1,0.92,
cand_309,N#Cc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.975,
cand_310,CCc1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,
cand_311,O=C1CCC(N2Cc3c(F)cc(C(F)(F)F)cc3C2=O)C(=O)N1,0.94,
cand_312,NC(=O)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.955,
cand_313,O=C1CCC(N2Cc3cc(Br)cc(F)c3C2=O)C(=O)N1,0.93,
cand_314,O=C1CCC(N2Cc3cc(Br)cc(C(=O)O)c3C2=O)C(=O)N1,0.93,
cand_315,O=C1CCC(N2C(=O)c3ccc(-c4ccc(N5CCNCC5)cc4)c([N+](=O)[O-])c3C2=O)C(=O)N1,0.94,
cand_316,CCc1ccc2c(c1C(N)=O)CN(C1CCC(=O)NC1=O)C2=O,0.885,
cand_317,NC(=O)c1ccc([N+](=O)[O-])c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.83,
cand_318,CNc1ccc2c(c1Br)CN(C1CCC(=O)NC1=O)C2=O,0.975,
cand_319,CNc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.905,
cand_320,O=C1CCC(N2Cc3cc(C(F)(F)F)c(Br)cc3C2=O)C(=O)N1,0.985,
cand_321,CCc1ccc(N(C)C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.86,
cand_322,CCc1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2,0.815,
cand_323,CCc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1CN(C1CCC(=O)NC1=O)C2=O,0.9,
cand_324,O=C1CCC(N2C(=O)c3ccc(F)c([N+](=O)[O-])c3C2=O)C(=O)N1,0.92,
cand_325,N#Cc1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,
cand_326,CNc1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_327,CCc1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_328,O=C1CCC(N2Cc3cc(I)c(Br)cc3C2=O)C(=O)N1,0.965,
cand_329,Cc1c(Cl)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,
cand_330,NS(=O)(=O)c1ccc2c(c1I)CN(C1CCC(=O)NC1=O)C2=O,0.97,
cand_331,COc1cc(Br)cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.89,
cand_332,O=C1CCC(N2Cc3cc(C(=O)O)cc(F)c3C2=O)C(=O)N1,0.92,
cand_333,CCc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2,0.835,
cand_334,Nc1cc2c(c(C(F)(F)F)c1)CN(C1CCC(=O)NC1=O)C2=O,0.92,
cand_335,CNc1c(N(C)C)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,
cand_336,O=C1CCC(N2Cc3cc(Cl)cc(F)c3C2=O)C(=O)N1,0.93,
cand_337,CN(C)c1ccc2c(c1C(F)(F)F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,
cand_338,CNc1c([N+](=O)[O-])ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,
cand_339,O=C1CCC(N2C(=O)c3cc(O)cc(C(=O)O)c3C2=O)C(=O)N1,0.955,
cand_340,O=C1CCC(N2Cc3c(F)cc(O)cc3C2=O)C(=O)N1,0.925,
cand_341,CCc1ccc([N+](=O)[O-])c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.73,
cand_342,NS(=O)(=O)c1cc2c(c([N+](=O)[O-])c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.9,
cand_343,NS(=O)(=O)c1ccc2c(c1Br)CN(C1CCC(=O)NC1=O)C2=O,0.98,
cand_344,NC(=O)c1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2,0.905,
cand_345,O=C1CCC(N2Cc3c(C(F)(F)F)ccc(Cl)c3C2=O)C(=O)N1,0.91,
cand_346,O=C1CCC(N2Cc3cc(Cl)c(C(=O)O)cc3C2=O)C(=O)N1,0.965,
cand_347,CCc1c(NC)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.91,
cand_348,COc1cc2c(cc1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,
cand_349,CN(C)c1cc2c(cc1S(N)(=O)=O)CN(C1CCC(=O)NC1=O)C2=O,0.95,
cand_350,NC(=O)c1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,
cand_351,COc1ccc(O)c2c1CN(C1CCC(=O)NC1=O)C2=O,0.905,
cand_352,N#Cc1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.91,
cand_353,O=C1CCC(N2Cc3ccc(Cl)c(C(F)(F)F)c3C2=O)C(=O)N1,0.955,
cand_354,CCc1cc(F)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.925,
cand_355,COc1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2,0.98,
cand_356,CN(C)c1cc(C(N)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,
cand_357,Nc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,
cand_358,O=C1CCC(N2Cc3ccc(F)c(I)c3C2=O)C(=O)N1,0.92,
cand_359,O=C1CCC(N2C(=O)c3ccc(C(=O)O)c([N+](=O)[O-])c3C2=O)C(=O)N1,0.91,
cand_360,CCc1cc2c(c(-c3ccc(N4CCNCC4)cc3)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,
cand_361,N#Cc1ccc2c(c1O)C(=O)N(C1CCC(=O)NC1=O)C2,0.955,
cand_362,O=C1CCC(N2C(=O)c3ccc(-c4ccc(N5CCNCC5)cc4)c(O)c3C2=O)C(=O)N1,1.0,
cand_363,CCc1ccc(C(F)(F)F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.81,
cand_364,Cc1c(N(C)C)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,
cand_365,N#Cc1c(C(N)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,
cand_366,CNc1ccc2c(c1[N+](=O)[O-])CN(C1CCC(=O)NC1=O)C2=O,0.915,
cand_367,CNc1cc2c(c(C(N)=O)c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.89,
cand_368,CN(C)c1cc([N+](=O)[O-])cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,
cand_369,Nc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_370,O=C1CCC(N2Cc3c(Cl)cc(Br)cc3C2=O)C(=O)N1,0.93,
cand_371,O=C1CCC(N2Cc3ccc(Cl)c(Cl)c3C2=O)C(=O)N1,0.93,
cand_372,NC(=O)c1ccc(I)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.88,
cand_373,CN(C)c1cc(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.945,
cand_374,CNc1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.895,
cand_375,COc1cc(I)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_376,O=C1CCC(N2Cc3c(Cl)ccc(F)c3C2=O)C(=O)N1,0.92,
cand_377,O=C1CCC(N2Cc3c(ccc(O)c3[N+](=O)[O-])C2=O)C(=O)N1,0.925,
cand_378,CNc1cc(I)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,
cand_379,CCc1cc(N(C)C)cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.92,
cand_380,CCc1c(NC)ccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.965,
cand_381,O=C1CCC(N2Cc3c(Cl)ccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.985,
cand_382,CNc1cc2c(cc1NC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,
cand_383,NC(=O)c1ccc(C(=O)O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.905,
cand_384,CN(C)c1ccc(C#N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,
cand_385,O=C1CCC(N2C(=O)c3cc(Cl)cc(C(F)(F)F)c3C2=O)C(=O)N1,0.96,
cand_386,NS(=O)(=O)c1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_387,O=C1CCC(N2C(=O)c3ccc([N+](=O)[O-])c(C(F)(F)F)c3C2=O)C(=O)N1,0.9,
cand_388,O=C1CCC(N2Cc3ccc(I)c(Cl)c3C2=O)C(=O)N1,0.95,
cand_389,NC(=O)c1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,
cand_390,NC(=O)c1c(C(=O)O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.94,
cand_391,O=C1CCC(N2Cc3ccc(-c4ccc(N5CCNCC5)cc4)c([N+](=O)[O-])c3C2=O)C(=O)N1,0.925,
cand_392,CN(C)c1cc2c(cc1O)CN(C1CCC(=O)NC1=O)C2=O,0.965,
cand_393,CNc1ccc2c(c1-c1ccc(N3CCNCC3)cc1)CN(C1CCC(=O)NC1=O)C2=O,0.97,
cand_394,CN(C)c1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2,0.985,
cand_395,COc1ccc(O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,
cand_396,N#Cc1cc(Cl)cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.93,
cand_397,NS(=O)(=O)c1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_398,COc1ccc(C)c2c1CN(C1CCC(=O)NC1=O)C2=O,0.875,
cand_399,NS(=O)(=O)c1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,
cand_400,COc1cc(O)cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.925,
cand_401,CN(C)c1ccc2c(c1Br)CN(C1CCC(=O)NC1=O)C2=O,0.98,
cand_402,NS(=O)(=O)c1ccc(C(F)(F)F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.885,
cand_403,O=C1CCC(N2C(=O)c3ccc([N+](=O)[O-])c(C(=O)O)c3C2=O)C(=O)N1,0.905,
cand_404,Cc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,
cand_405,Cc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,
cand_406,Nc1cc(F)cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.9,
cand_407,O=C1CCC(N2Cc3c(Br)cc(Br)cc3C2=O)C(=O)N1,0.945,
cand_408,NC(=O)c1cc(C(=O)O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,
cand_409,O=C1CCC(N2Cc3cc(F)cc([N+](=O)[O-])c3C2=O)C(=O)N1,0.885,
cand_410,O=C1CCC(N2Cc3c(F)cc(Br)cc3C2=O)C(=O)N1,0.94,
cand_411,CN(C)c1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,
cand_412,N#Cc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.935,
cand_413,N#Cc1c(N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.94,
cand_414,COc1ccc2c(c1Br)CN(C1CCC(=O)NC1=O)C2=O,0.97,
cand_415,CNc1ccc([N+](=O)[O-])c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.825,
cand_416,Cc1cc(C(=O)O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,
cand_417,CNc1c(-c2ccc(N3CCNCC3)cc2)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.99,
cand_418,O=C1CCC(N2Cc3ccc(-c4ccc(N5CCNCC5)cc4)c(O)c3C2=O)C(=O)N1,0.98,
cand_419,CN(C)c1cc(Br)c2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.925,
cand_420,CN(C)c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.96,
cand_421,Nc1cc(S(N)(=O)=O)cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.9,
cand_422,CN(C)c1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.995,
cand_423,N#Cc1ccc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,
cand_424,COc1cc2c(cc1N(C)C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.99,
cand_425,CCc1cc2c(cc1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_426,NC(=O)c1c(C(F)(F)F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,
cand_427,CNc1ccc(C(=O)O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,
cand_428,COc1ccc2c(c1N)CN(C1CCC(=O)NC1=O)C2=O,0.96,
cand_429,O=C1CCC(N2C(=O)c3cc(C(=O)O)cc(F)c3C2=O)C(=O)N1,0.92,
cand_430,COc1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2,0.945,
cand_431,N#Cc1cc(C(F)(F)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.925,
cand_432,CCc1cc2c(cc1I)CN(C1CCC(=O)NC1=O)C2=O,0.935,
cand_433,Cc1ccc2c(c1N(C)C)CN(C1CCC(=O)NC1=O)C2=O,0.905,
cand_434,Cc1cc(F)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,
cand_435,COc1ccc(Br)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,
cand_436,CCc1cc2c(cc1OC)C(=O)N(C1CCC(=O)NC1=O)C2,0.96,
cand_437,N#Cc1cc([N+](=O)[O-])cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,
cand_438,COc1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,
cand_439,NS(=O)(=O)c1ccc([N+](=O)[O-])c2c1CN(C1CCC(=O)NC1=O)C2=O,0.86,
cand_440,COc1ccc2c(c1I)CN(C1CCC(=O)NC1=O)C2=O,0.96,
cand_441,N#Cc1cc(Br)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,
cand_442,O=C1CCC(N2Cc3c(O)cc(-c4ccc(N5CCNCC5)cc4)cc3C2=O)C(=O)N1,0.9,
cand_443,O=C1CCC(N2C(=O)c3ccc(-c4ccc(N5CCNCC5)cc4)c(F)c3C2=O)C(=O)N1,0.975,
cand_444,CN(C)c1cc2c(cc1O)C(=O)N(C1CCC(=O)NC1=O)C2,0.97,
cand_445,O=C1CCC(N2C(=O)c3cc(Cl)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,1.0,
cand_446,O=C1CCC(N2C(=O)c3cc(F)cc(F)c3C2=O)C(=O)N1,0.93,
cand_447,COc1cc(-c2ccc(N3CCNCC3)cc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.895,
cand_448,CCc1c(OC)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,
cand_449,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc([N+](=O)[O-])c3C2=O)C(=O)N1,0.89,
cand_450,N#Cc1ccc(C(=O)O)c2c1CN(C1CCC(=O)NC1=O)C2=O,0.93,
cand_451,COc1c(C(=O)O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.88,
cand_452,Cc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,
cand_453,COc1ccc(N)c2c1CN(C1CCC(=O)NC1=O)C2=O,0.9,
cand_454,CCc1cc(CC)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,
cand_455,O=C1CCC(N2Cc3c(O)ccc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.985,
cand_456,N#Cc1ccc2c(c1-c1ccc(N3CCNCC3)cc1)C(=O)N(C1CCC(=O)NC1=O)C2,0.965,
cand_457,N#Cc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,
cand_458,O=C1CCC(N2Cc3c(F)ccc([N+](=O)[O-])c3C2=O)C(=O)N1,0.855,
cand_459,Nc1ccc(Br)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.93,
cand_460,Nc1ccc2c(c1Br)CN(C1CCC(=O)NC1=O)C2=O,0.97,
cand_461,CCc1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.91,
cand_462,Cc1cc2c(cc1F)CN(C1CCC(=O)NC1=O)C2=O,0.975,
cand_463,O=C1CCC(N2Cc3c(-c4ccc(N5CCNCC5)cc4)ccc(O)c3C2=O)C(=O)N1,0.985,
cand_464,O=C1CCC(N2C(=O)c3ccc(F)c(O)c3C2=O)C(=O)N1,0.975,
cand_465,O=C1CCC(N2Cc3cc(Br)cc(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.99,
cand_466,NC(=O)c1cc2c(cc1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.9,
cand_467,Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_468,NC(=O)c1c(S(N)(=O)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,
cand_469,O=C1CCC(N2Cc3ccc(O)c(-c4ccc(N5CCNCC5)cc4)c3C2=O)C(=O)N1,0.97,
cand_470,Cc1cc2c(cc1-c1ccc(N3CCNCC3)cc1)CN(C1CCC(=O)NC1=O)C2=O,0.99,
cand_471,NS(=O)(=O)c1cc2c(cc1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2,0.96,
cand_472,NS(=O)(=O)c1c(Cl)ccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.96,
cand_473,COc1ccc2c(c1C#N)CN(C1CCC(=O)NC1=O)C2=O,0.965,
cand_474,O=C1CCC(N2C(=O)c3cc(C(=O)O)cc(Br)c3C2=O)C(=O)N1,0.955,
cand_475,N#Cc1ccc(C(N)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.91,
cand_476,O=C1CCC(N2C(=O)c3cc(Br)cc(I)c3C2=O)C(=O)N1,0.935,
cand_477,CN(C)c1c(-c2ccc(N3CCNCC3)cc2)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.995,
cand_478,Nc1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.92,
cand_479,O=C1CCC(N2Cc3c(ccc(Cl)c3O)C2=O)C(=O)N1,0.98,
cand_480,COc1ccc(C(=O)O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.91,
cand_481,CCc1ccc(N(C)C)c2c1CN(C1CCC(=O)NC1=O)C2=O,0.845,
cand_482,COc1cc(N(C)C)cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.93,
cand_483,CN(C)c1c(C(=O)O)ccc2c1CN(C1CCC(=O)NC1=O)C2=O,0.98,
cand_484,O=C1CCC(N2C(=O)c3ccc(F)c(C(F)(F)F)c3C2=O)C(=O)N1,0.965,
cand_485,CNc1ccc(N(C)C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,
cand_486,CCc1cc2c(cc1C(N)=O)CN(C1CCC(=O)NC1=O)C2=O,0.85,
cand_487,NS(=O)(=O)c1cc(I)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.915,
cand_488,CN(C)c1cc(C(=O)O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.925,
cand_489,CNc1cc(S(N)(=O)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,
cand_490,NC(=O)c1cc(S(N)(=O)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,
cand_491,COc1ccc(-c2ccc(N3CCNCC3)cc2)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,
cand_492,O=C1CCC(N2Cc3cc(C(F)(F)F)cc(Cl)c3C2=O)C(=O)N1,0.93,
cand_493,CN(C)c1cc2c(cc1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,
cand_494,O=C1CCC(N2C(=O)c3cc(Cl)c(I)cc3C2=O)C(=O)N1,0.95,
cand_495,CCc1cc(O)c2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.93,
cand_496,Cc1ccc2c(c1C#N)CN(C1CCC(=O)NC1=O)C2=O,0.925,
cand_497,NS(=O)(=O)c1ccc2c(c1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,
cand_498,N#Cc1cc([N+](=O)[O-])cc2c1CN(C1CCC(=O)NC1=O)C2=O,0.865,
cand_499,O=C1CCC(N2C(=O)c3ccc(Cl)c([N+](=O)[O-])c3C2=O)C(=O)N1,0.92,
cand_500,O=C1CCC(N2C(=O)c3cc(I)cc(C(F)(F)F)c3C2=O)C(=O)N1,0.955,
cand_501,N#Cc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.94,
cand_502,COc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2,0.945,
cand_503,O=C1CCC(N2C(=O)c3c(-c4ccc(N5CCNCC5)cc4)ccc(C(F)(F)F)c3C2=O)C(=O)N1,0.92,
cand_504,Nc1ccc(F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2,0.92,
cand_505,O=C1CCC(N2Cc3c(C(=O)O)ccc(Cl)c3C2=O)C(=O)N1,0.92,
cand_506,Cc1cc2c(cc1[N+](=O)[O-])C(=O)N(C1CCC(=O)NC1=O)C2,0.905,
